"DATA/10006857.CI.PDE.BHT.sac.d.T006_T030
","SYN/PDE.CI.BHT.semd.sac.m16.T006_T030
",6.604,63.704
"DATA/10006857.CI.PDE.BHT.sac.d.T006_T030
","SYN/PDE.CI.BHT.semd.sac.m16.T006_T030
",21.554,63.704
"DATA/10006857.CI.PDE.BHT.sac.d.T006_T030
","SYN/PDE.CI.BHT.semd.sac.m16.T006_T030
",31.454,63.704
"DATA/10006857.BK.PKD.BHT.sac.d.T006_T030
","SYN/PKD.BK.BHT.semd.sac.m16.T006_T030
",21.054,60.254
"DATA/10006857.BK.PKD.BHT.sac.d.T006_T030
","SYN/PKD.BK.BHT.semd.sac.m16.T006_T030
",21.054,91.354
"DATA/10006857.BK.PKD.BHT.sac.d.T006_T030
","SYN/PKD.BK.BHT.semd.sac.m16.T006_T030
",35.054,60.254
"DATA/10006857.BK.PKD.BHT.sac.d.T006_T030
","SYN/PKD.BK.BHT.semd.sac.m16.T006_T030
",35.054,91.354
"DATA/10006857.BK.PKD.BHT.sac.d.T006_T030
","SYN/PKD.BK.BHT.semd.sac.m16.T006_T030
",42.804,60.254
"DATA/10006857.BK.PKD.BHT.sac.d.T006_T030
","SYN/PKD.BK.BHT.semd.sac.m16.T006_T030
",42.804,91.354
"DATA/10006857.BK.PKD.BHT.sac.d.T006_T030
","SYN/PKD.BK.BHT.semd.sac.m16.T006_T030
",51.404,91.354
"DATA/10006857.BK.PKD.BHT.sac.d.T006_T030
","SYN/PKD.BK.BHT.semd.sac.m16.T006_T030
",60.254,91.354
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",48.104,92.204
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",48.104,101.504
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",48.104,109.704
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",48.104,137.504
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",53.254,92.204
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",53.254,101.504
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",53.254,109.704
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",53.254,137.504
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",59.604,92.204
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",59.604,101.504
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",59.604,109.704
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",59.604,137.504
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",67.754,92.204
"DATA/10006857.CI.PLM.BHT.sac.d.T006_T030
","SYN/PLM.CI.BHT.semd.sac.m16.T006_T030
",67.754,101.504
